Year,CO2 emission (Tons)
1950,230184741287.0
1951,236409276760.0
1952,242716776777.0
1953,249200545602.0
1954,255567786199.0
1955,263093272538.0
1956,270953676796.0
1957,279077259007.0
1958,286538691631.0
1959,295348597178.0
1960,304599188852.0
1961,313865601207.0
1962,323347747292.0
1963,333205711142.0
1964,343455645233.0
1965,355048554427.0
1966,365991814350.0
1967,378153576690.0
1968,390824948818.0
1969,404140330269.0
1970,418259055835.0
1971,433926967640.0
1972,449073587877.0
1973,465839913714.0
1974,482738569828.0
1975,498858175778.0
1976,516653892260.0
1977,534808409898.0
1978,553477783323.0
1979,572620557987.0
1980,591857958968.0
1981,609786110190.0
1982,628841132565.0
1983,647051425113.0
1984,666685983998.0
1985,685983026674.0
1986,706545762840.0
1987,727458779712.0
1988,748964122739.0
1989,770673468003.0
1990,792751365262.0
1991,814902739044.0
1992,836744887714.0
1993,859718248173.0
1994,881734182663.0
1995,904143518102.0
1996,928013580330.0
1997,951917934245.0
1998,974641307212.0
1999,998579096874.0
2000,1023015553561.0
2001,1047779406965.0
2002,1073071744937.0
2003,1099592016009.0
2004,1127198512387.0
2005,1155721218140.0
2006,1184849276898.0
2007,1216177504260.0
2008,1247767077202.0
2009,1277986261735.0
2010,1309950297672.0
2011,1343651942331.0
2012,1377729342893.0
2013,1411847329095.0
2014,1447121565892.0
2015,1479602442349.0
