Name,Maximum Wind,Year,Month,Latitude,Longitude,category
                BOB,100.0,1991,8,36.5,74.5,2
                DOG,125.0,1950,9,24.6,67.7,3
                FOX,125.0,1952,10,22.0,80.9,3
                HOW,85.0,1951,10,32.8,75.7,1
                IDA,90.0,2009,11,23.0,86.5,1
                IKE,125.0,2008,9,22.4,55.0,3
                JIG,100.0,1950,10,33.0,59.7,2
               ABLE,110.0,1950,8,31.7,75.5,2
               ALEX,105.0,2004,8,38.5,66.0,2
               ALMA,110.0,1966,6,24.2,82.4,2
               ANNA,100.0,1961,7,13.7,73.3,2
               BETA,100.0,2005,10,13.3,83.1,2
               BETH,75.0,1971,8,39.7,67.2,1
               BILL,115.0,2009,8,17.6,54.2,3
               BRET,125.0,1999,8,25.5,95.5,3
               CLEO,135.0,1964,8,16.7,68.0,4
               CORA,80.0,1978,8,14.0,44.9,1
               DEAN,150.0,2007,8,18.6,86.9,4
               DORA,115.0,1964,9,26.1,64.4,3
               EARL,125.0,2010,9,28.6,74.3,3
               EASY,130.0,1951,9,26.2,67.5,4
               EDNA,110.0,1954,9,28.8,76.5,2
               ELLA,120.0,1978,9,40.0,63.0,3
               EMMY,90.0,1976,8,35.0,56.8,1
               ERIN,105.0,2001,9,32.4,62.8,2
               FAYE,90.0,1975,9,32.7,64.2,1
               FERN,80.0,1971,9,26.7,94.0,1
               FIFI,95.0,1974,9,16.3,84.7,1
               FRAN,105.0,1996,9,27.0,74.7,2
               FRED,105.0,2009,9,13.6,32.1,2
               GERT,130.0,1999,9,17.8,50.8,4
               HUGO,140.0,1989,9,14.6,54.6,4
               IGOR,135.0,2010,9,18.9,53.5,4
               ILSA,95.0,1958,9,19.7,60.8,1
               INEZ,130.0,1966,9,17.0,67.1,4
               INGA,100.0,1969,10,31.9,59.5,2
               IONE,120.0,1955,9,27.0,73.2,3
               IRIS,125.0,2001,10,16.5,88.0,3
               ITEM,90.0,1950,10,19.4,95.4,1
               IVAN,145.0,2004,9,18.0,79.0,4
               JOAN,125.0,1988,10,11.9,83.2,3
               JOSE,85.0,1999,10,16.8,61.1,1
               JUAN,90.0,2003,9,35.5,63.2,1
               KARA,90.0,1969,10,43.3,50.8,1
               KARL,125.0,2004,9,19.6,47.3,3
               KATE,110.0,2003,10,30.2,54.0,2
               KING,115.0,1950,10,25.7,80.2,3
               KIRK,90.0,2012,8,29.6,50.7,1
               KYLE,75.0,2002,9,27.9,58.3,1
               LILI,125.0,2002,10,25.9,89.9,3
               LISA,75.0,2010,9,20.4,27.8,1
               LUIS,120.0,1995,9,17.4,51.8,3
               NANA,75.0,1990,10,24.1,63.8,1
               NATE,80.0,2005,9,32.6,61.1,1
               NOEL,75.0,2007,11,36.4,70.9,1
               OLGA,80.0,2001,11,32.6,57.0,1
               OMAR,115.0,2008,10,18.2,63.9,3
               OPAL,130.0,1995,10,26.6,88.8,4
               OTTO,75.0,2010,10,27.2,61.7,1
               RINA,100.0,2011,10,17.3,84.2,2
               RITA,155.0,2005,9,24.7,87.3,4
              AGNES,75.0,1972,6,26.0,85.7,1
              ALICE,95.0,1954,6,24.8,97.2,1
              ALLEN,165.0,1980,8,21.8,86.4,5
              ANITA,150.0,1977,9,24.2,97.1,4
              BAKER,95.0,1952,9,37.6,66.0,1
              BECKY,100.0,1974,8,37.3,61.8,2
              BELLE,105.0,1976,8,30.9,75.3,2
              BETSY,135.0,1965,9,28.3,89.2,4
              BETTY,90.0,1972,8,40.5,42.6,1
              CARLA,150.0,1961,9,27.2,95.7,4
              CAROL,140.0,1953,9,19.1,58.7,4
              CELIA,110.0,1970,8,27.5,96.3,2
              CESAR,75.0,1996,7,12.2,83.9,1
              CHLOE,95.0,1967,9,27.9,50.9,1
              CHRIS,75.0,2012,6,40.5,43.9,1
              CINDY,120.0,1999,8,30.1,58.0,3
