Name,Maximum Wind,Year,Month,category
                BOB,100.0,1991,8,2
                DOG,125.0,1950,9,3
                FOX,125.0,1952,10,3
                HOW,85.0,1951,10,1
                IDA,90.0,2009,11,1
                IKE,125.0,2008,9,3
                JIG,100.0,1950,10,2
               ABLE,110.0,1950,8,2
               ALEX,105.0,2004,8,2
               ALMA,110.0,1966,6,2
               ANNA,100.0,1961,7,2
               BETA,100.0,2005,10,2
               BETH,75.0,1971,8,1
               BILL,115.0,2009,8,3
               BRET,125.0,1999,8,3
               CLEO,135.0,1964,8,4
               CORA,80.0,1978,8,1
               DEAN,150.0,2007,8,4
               DORA,115.0,1964,9,3
               EARL,125.0,2010,9,3
               EASY,130.0,1951,9,4
               EDNA,110.0,1954,9,2
               ELLA,120.0,1978,9,3
               EMMY,90.0,1976,8,1
               ERIN,105.0,2001,9,2
               FAYE,90.0,1975,9,1
               FERN,80.0,1971,9,1
               FIFI,95.0,1974,9,1
               FRAN,105.0,1996,9,2
               FRED,105.0,2009,9,2
               GERT,130.0,1999,9,4
               HUGO,140.0,1989,9,4
               IGOR,135.0,2010,9,4
               ILSA,95.0,1958,9,1
               INEZ,130.0,1966,9,4
               INGA,100.0,1969,10,2
               IONE,120.0,1955,9,3
               IRIS,125.0,2001,10,3
               ITEM,90.0,1950,10,1
               IVAN,145.0,2004,9,4
               JOAN,125.0,1988,10,3
               JOSE,85.0,1999,10,1
               JUAN,90.0,2003,9,1
               KARA,90.0,1969,10,1
               KARL,125.0,2004,9,3
               KATE,110.0,2003,10,2
               KING,115.0,1950,10,3
               KIRK,90.0,2012,8,1
               KYLE,75.0,2002,9,1
               LILI,125.0,2002,10,3
               LISA,75.0,2010,9,1
               LUIS,120.0,1995,9,3
               NANA,75.0,1990,10,1
               NATE,80.0,2005,9,1
               NOEL,75.0,2007,11,1
               OLGA,80.0,2001,11,1
               OMAR,115.0,2008,10,3
               OPAL,130.0,1995,10,4
               OTTO,75.0,2010,10,1
               RINA,100.0,2011,10,2
               RITA,155.0,2005,9,4
              AGNES,75.0,1972,6,1
              ALICE,95.0,1954,6,1
