Name,Maximum Wind,Year,Month
                AMY,60.0,1975,6
                ANA,60.0,1985,7
                BOB,100.0,1991,8
                DOG,125.0,1950,9
                DON,45.0,2011,7
                EVE,50.0,1969,8
                FAY,70.0,2014,10
                FOX,125.0,1952,10
                HOW,85.0,1951,10
                IDA,90.0,2009,11
                IKE,125.0,2008,9
                JIG,100.0,1950,10
                LEE,50.0,2011,9
                ONE,30.0,2009,5
                TEN,30.0,2005,8
                TWO,30.0,2010,7
               ABBY,70.0,1960,7
               ABLE,110.0,1950,8
               ALEX,105.0,2004,8
               ALFA,40.0,1973,7
               ALMA,110.0,1966,6
               ANNA,100.0,1961,7
               BABE,65.0,1977,9
               BESS,45.0,1978,8
               BETA,100.0,2005,10
               BETH,75.0,1971,8
               BILL,115.0,2009,8
               BRET,125.0,1999,8
               CLEO,135.0,1964,8
               CORA,80.0,1978,8
               DAWN,70.0,1972,9
               DEAN,150.0,2007,8
               DORA,115.0,1964,9
               EARL,125.0,2010,9
               EASY,130.0,1951,9
               EDNA,110.0,1954,9
               ELLA,120.0,1978,9
               EMMY,90.0,1976,8
               ERIN,105.0,2001,9
               FAYE,90.0,1975,9
               FERN,80.0,1971,9
               FIFI,95.0,1974,9
               FIVE,30.0,2010,8
               FRAN,105.0,1996,9
               FRED,105.0,2009,9
               GAIL,70.0,1953,10
               GERT,130.0,1999,9
               HOPE,55.0,1978,9
               HUGO,140.0,1989,9
               IGOR,135.0,2010,9
               ILSA,95.0,1958,9
               INEZ,130.0,1966,9
               INGA,100.0,1969,10
               IONE,120.0,1955,9
               IRIS,125.0,2001,10
               IRMA,45.0,1978,10
               ITEM,90.0,1950,10
               IVAN,145.0,2004,9
               JOAN,125.0,1988,10
               JOSE,85.0,1999,10
               JUAN,90.0,2003,9
               KARA,90.0,1969,10
               KARL,125.0,2004,9
               KATE,110.0,2003,10
               KING,115.0,1950,10
               KIRK,90.0,2012,8
               KYLE,75.0,2002,9
               LILI,125.0,2002,10
               LISA,75.0,2010,9
               LOIS,70.0,1966,11
               LOVE,70.0,1950,10
               LUIS,120.0,1995,9
